id,learningEdge,congestion,density,gpsProbeSpeed,speed
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,7.65,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,7.66,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,7.72,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02215657,7.79,8.89
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02215657,7.96,8.89
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02067947,8.1,8.9
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.01920236,8.16,8.91
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.01920236,8.15,8.91
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",BC,0.01624815,8.34,8.76
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",BC,0.01772526,9.01,8.76
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",BC,0.01920236,9.66,8.75
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,9.67,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.72,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.8,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.87,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.97,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,10.17,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,10.08,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,9.83,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.6,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.49,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.49,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.49,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.49,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.5,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.51,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.52,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.54,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.57,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.58,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.58,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.21,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,8.63,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,8.21,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,7.89,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,7.64,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,7.5,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,7.54,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,7.82,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,7.86,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.02067947,7.6,9.06
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,7.88,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,8.53,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.18,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.54,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.55,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.57,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.6,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.57,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.54,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.54,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,9.54,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.54,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.39,9.08
